Station,Datetime,Rental count outlier correction,Return count outlier correction
E 16 St & 5 Ave,03-08-2023 08:20,4,4
E 16 St & 5 Ave,03-08-2023 08:30,1,5
E 16 St & 5 Ave,03-08-2023 08:40,2,7
E 16 St & 5 Ave,03-08-2023 08:50,2,8
E 16 St & 5 Ave,03-08-2023 09:00,1,4
E 16 St & 5 Ave,03-08-2023 09:10,2,4
E 16 St & 5 Ave,03-08-2023 09:20,2,4
E 16 St & 5 Ave,03-08-2023 09:30,1,3
E 16 St & 5 Ave,03-08-2023 09:40,2,4
E 16 St & 5 Ave,03-08-2023 09:50,0,3
E 16 St & 5 Ave,03-08-2023 10:00,2,1
E 16 St & 5 Ave,03-08-2023 10:10,2,5
E 16 St & 5 Ave,03-08-2023 10:20,1,2
E 16 St & 5 Ave,03-08-2023 10:30,1,3
E 16 St & 5 Ave,03-08-2023 10:40,2,3
E 16 St & 5 Ave,03-08-2023 10:50,0,1
E 16 St & 5 Ave,03-08-2023 11:00,2,0
E 16 St & 5 Ave,03-08-2023 11:10,3,2
E 16 St & 5 Ave,03-08-2023 11:20,1,0
E 16 St & 5 Ave,03-08-2023 11:30,3,3
E 16 St & 5 Ave,03-08-2023 11:40,2,2
E 16 St & 5 Ave,03-08-2023 11:50,4,3
E 16 St & 5 Ave,03-08-2023 12:00,3,2
E 16 St & 5 Ave,03-08-2023 12:10,2,3
E 16 St & 5 Ave,03-08-2023 12:20,3,6
E 16 St & 5 Ave,03-08-2023 12:30,2,4
E 16 St & 5 Ave,03-08-2023 12:40,3,5
E 16 St & 5 Ave,03-08-2023 12:50,2,4
E 16 St & 5 Ave,03-08-2023 13:00,1,3
E 16 St & 5 Ave,03-08-2023 13:10,3,4
E 16 St & 5 Ave,03-08-2023 13:20,2,3
E 16 St & 5 Ave,03-08-2023 13:30,3,3
E 16 St & 5 Ave,03-08-2023 13:40,3,4
E 16 St & 5 Ave,03-08-2023 13:50,3,4
E 16 St & 5 Ave,03-08-2023 14:00,3,2
E 16 St & 5 Ave,03-08-2023 14:10,3,4
E 16 St & 5 Ave,03-08-2023 14:20,3,2
E 16 St & 5 Ave,03-08-2023 14:30,3,3
E 16 St & 5 Ave,03-08-2023 14:40,3,1
E 16 St & 5 Ave,03-08-2023 14:50,3,4
E 16 St & 5 Ave,03-08-2023 15:00,2,2
E 16 St & 5 Ave,03-08-2023 15:10,3,0
E 16 St & 5 Ave,03-08-2023 15:20,3,3
E 16 St & 5 Ave,03-08-2023 15:30,3,2
E 16 St & 5 Ave,03-08-2023 15:40,3,3
E 16 St & 5 Ave,03-08-2023 15:50,1,1
E 16 St & 5 Ave,03-08-2023 16:00,1,3
E 16 St & 5 Ave,03-08-2023 16:10,4,3
E 16 St & 5 Ave,03-08-2023 16:20,4,2
E 16 St & 5 Ave,03-08-2023 16:30,4,3
E 16 St & 5 Ave,03-08-2023 16:40,4,3
E 16 St & 5 Ave,03-08-2023 16:50,4,3
E 16 St & 5 Ave,03-08-2023 17:00,4,3
E 16 St & 5 Ave,03-08-2023 17:10,4,4
E 16 St & 5 Ave,03-08-2023 17:20,4,3
E 16 St & 5 Ave,03-08-2023 17:30,4,3
E 16 St & 5 Ave,03-08-2023 17:40,2,3
E 16 St & 5 Ave,03-08-2023 17:50,4,4
E 16 St & 5 Ave,03-08-2023 18:00,5,5
E 16 St & 5 Ave,03-08-2023 18:10,5,3
E 16 St & 5 Ave,03-08-2023 18:20,6,5
E 16 St & 5 Ave,03-08-2023 18:30,5,3
E 16 St & 5 Ave,03-08-2023 18:40,5,3
E 16 St & 5 Ave,03-08-2023 18:50,6,3
E 16 St & 5 Ave,03-08-2023 19:00,4,4
E 16 St & 5 Ave,03-08-2023 19:10,4,2
E 16 St & 5 Ave,03-08-2023 19:20,6,2
E 16 St & 5 Ave,03-08-2023 19:30,3,4
E 16 St & 5 Ave,03-08-2023 19:40,3,2
E 16 St & 5 Ave,03-08-2023 19:50,3,0
E 16 St & 5 Ave,03-08-2023 20:00,2,1
E 16 St & 5 Ave,03-08-2023 20:10,0,2
E 16 St & 5 Ave,03-08-2023 20:20,2,1
E 16 St & 5 Ave,03-08-2023 20:30,2,0
E 16 St & 5 Ave,03-08-2023 20:40,2,1
E 16 St & 5 Ave,03-08-2023 20:50,0,1
E 16 St & 5 Ave,03-08-2023 21:00,0,1
E 16 St & 5 Ave,03-08-2023 21:10,1,1
